group_column,group_value,model,attack_rows,true_positive,false_negative,recall,false_negative_rate
attack_type,FTP-BruteForce,gru,23806,0,23806,0.0,1.0
attack_type,FTP-BruteForce,xgboost,23806,23806,0,1.0,0.0
attack_type,FTP-BruteForce,xgboost_gru,23806,23806,0,1.0,0.0
attack_type,From-Botnet-V44-TCP-Attempt,gru,5088,5087,1,0.9998034591194969,0.00019654088050314466
attack_type,From-Botnet-V44-TCP-Attempt,xgboost,5088,5086,2,0.9996069182389937,0.00039308176100628933
attack_type,From-Botnet-V44-TCP-Attempt,xgboost_gru,5088,5088,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Attempt,gru,4675,1666,3009,0.3563636363636364,0.6436363636363637
attack_type,From-Botnet-V54-TCP-Attempt,xgboost,4675,1381,3294,0.2954010695187166,0.7045989304812834
attack_type,From-Botnet-V54-TCP-Attempt,xgboost_gru,4675,3258,1417,0.6968983957219251,0.30310160427807487
attack_type,service_probe,gru,1105,1097,8,0.9927601809954751,0.007239819004524887
attack_type,service_probe,xgboost,1105,1092,13,0.9882352941176471,0.011764705882352941
attack_type,service_probe,xgboost_gru,1105,1098,7,0.9936651583710407,0.006334841628959276
attack_type,udp_scan,gru,924,923,1,0.9989177489177489,0.0010822510822510823
attack_type,udp_scan,xgboost,924,924,0,1.0,0.0
attack_type,udp_scan,xgboost_gru,924,924,0,1.0,0.0
attack_type,From-Botnet-V50-1-UDP-DNS,gru,892,892,0,1.0,0.0
attack_type,From-Botnet-V50-1-UDP-DNS,xgboost,892,878,14,0.984304932735426,0.01569506726457399
attack_type,From-Botnet-V50-1-UDP-DNS,xgboost_gru,892,892,0,1.0,0.0
attack_type,vertical_scan,gru,887,885,2,0.9977452085682075,0.002254791431792559
attack_type,vertical_scan,xgboost,887,886,1,0.9988726042841037,0.0011273957158962795
attack_type,vertical_scan,xgboost_gru,887,885,2,0.9977452085682075,0.002254791431792559
attack_type,From-Botnet-V54-UDP-DNS,gru,782,751,31,0.9603580562659847,0.03964194373401535
attack_type,From-Botnet-V54-UDP-DNS,xgboost,782,707,75,0.9040920716112532,0.0959079283887468
attack_type,From-Botnet-V54-UDP-DNS,xgboost_gru,782,764,18,0.9769820971867008,0.023017902813299233
attack_type,From-Botnet-V54-TCP-Attempt-SPAM,gru,697,684,13,0.9813486370157819,0.018651362984218076
attack_type,From-Botnet-V54-TCP-Attempt-SPAM,xgboost,697,684,13,0.9813486370157819,0.018651362984218076
attack_type,From-Botnet-V54-TCP-Attempt-SPAM,xgboost_gru,697,695,2,0.9971305595408895,0.0028694404591104736
attack_type,From-Botnet-V43-TCP-Attempt,gru,566,543,23,0.9593639575971732,0.04063604240282685
attack_type,From-Botnet-V43-TCP-Attempt,xgboost,566,517,49,0.9134275618374559,0.08657243816254417
