group_column,group_value,model,normal_rows,true_negative,false_positive,false_positive_rate
scenario_id,ctu13-scenario-13,gru,6506,6506,0,0.0
scenario_id,ctu13-scenario-13,xgboost,6506,6494,12,0.0018444512757454657
scenario_id,ctu13-scenario-13,xgboost_gru,6506,6506,0,0.0
scenario_id,vertical-scan,gru,2808,2808,0,0.0
scenario_id,vertical-scan,xgboost,2808,2808,0,0.0
scenario_id,vertical-scan,xgboost_gru,2808,2808,0,0.0
scenario_id,udp-scan,gru,2788,2788,0,0.0
scenario_id,udp-scan,xgboost,2788,2788,0,0.0
scenario_id,udp-scan,xgboost_gru,2788,2788,0,0.0
scenario_id,baseline,gru,2777,2777,0,0.0
scenario_id,baseline,xgboost,2777,2776,1,0.00036010082823190496
scenario_id,baseline,xgboost_gru,2777,2777,0,0.0
scenario_id,ctu13-scenario-1,gru,2406,2406,0,0.0
scenario_id,ctu13-scenario-1,xgboost,2406,2400,6,0.0024937655860349127
scenario_id,ctu13-scenario-1,xgboost_gru,2406,2404,2,0.0008312551953449709
scenario_id,service-probe,gru,1720,1720,0,0.0
scenario_id,service-probe,xgboost,1720,1720,0,0.0
scenario_id,service-probe,xgboost_gru,1720,1720,0,0.0
scenario_id,horizontal-scan,gru,1440,1440,0,0.0
scenario_id,horizontal-scan,xgboost,1440,1440,0,0.0
scenario_id,horizontal-scan,xgboost_gru,1440,1440,0,0.0
scenario_id,ctu13-scenario-3,gru,737,736,1,0.0013568521031207597
scenario_id,ctu13-scenario-3,xgboost,737,734,3,0.004070556309362279
scenario_id,ctu13-scenario-3,xgboost_gru,737,734,3,0.004070556309362279
scenario_id,low-and-slow,gru,334,334,0,0.0
scenario_id,low-and-slow,xgboost,334,334,0,0.0
scenario_id,low-and-slow,xgboost_gru,334,334,0,0.0
scenario_id,ctu13-scenario-8,gru,208,200,8,0.038461538461538464
scenario_id,ctu13-scenario-8,xgboost,208,206,2,0.009615384615384616
scenario_id,ctu13-scenario-8,xgboost_gru,208,204,4,0.019230769230769232
scenario_id,public-cse-cic-ids2018,gru,184,176,8,0.043478260869565216
scenario_id,public-cse-cic-ids2018,xgboost,184,182,2,0.010869565217391304
scenario_id,public-cse-cic-ids2018,xgboost_gru,184,100,84,0.45652173913043476
scenario_id,ctu13-scenario-6,gru,50,47,3,0.06
scenario_id,ctu13-scenario-6,xgboost,50,49,1,0.02
scenario_id,ctu13-scenario-6,xgboost_gru,50,47,3,0.06
scenario_id,ctu13-scenario-7,gru,14,14,0,0.0
scenario_id,ctu13-scenario-7,xgboost,14,14,0,0.0
scenario_id,ctu13-scenario-7,xgboost_gru,14,14,0,0.0
scenario_id,ctu13-scenario-12,gru,13,13,0,0.0
scenario_id,ctu13-scenario-12,xgboost,13,13,0,0.0
scenario_id,ctu13-scenario-12,xgboost_gru,13,13,0,0.0
